legacy_id,name
1559,Psalms 49-53: Songs from the Heart
1602,Real Christianity
1450,One-offs
1226,"Series '17 - 2 Samuel, Provision, Easter, Love One Another, John, Psalms, Big Questions, Christian Life"
1239,2 Samuel 16-21: A Man after God's Heart
1262,God's Rich Provision
1279,Easter
1283,Love One Another
1324,John 16-17: Jesus Speaks
1362,Psalms 44-48: Songs from the Heart
1384,Big Questions Event
1391,The Christian Life
1228,One-offs
649,"Series '16 - 2 Samuel, 1 Timothy, John, Psalms, Godly Living"
1117,Godly Living
655,2 Samuel 9-12: A Man After God's Heart
654,The Gift of Generosity
653,Easter
652,1 Timothy: Fight the Good Fight
651,John 14-15: Jesus Speaks
650,Psalms 39-43: Songs from the Heart
657,One-offs
656,"Series '15 - 2 Samuel, Revelation, 2 Timothy, Psalms, Spirit-Filled Life"
683,2 Samuel 1-8: A Man After God's Heart
662,Treasures in Heaven (Giving)
684,Easter
682,Revelation 1-5: The Revelation of Jesus Christ
661,2 Timothy: Guard the Gospel
660,Psalms 34-38: Songs from the Heart
659,Spirit-Filled Life
658,One-offs
686,"Series '14 - 1 Samuel, Acts, James, Psalms, Christ-Centred Life"
687,1 Samuel 24-31: Looking on the Heart
688,Giving for Growth
689,Acts 25-28: To the Ends of the Earth
690,The End and the Beginning: Easter
691,James 3-5: Living Faith
692,Psalms 29-33: Songs from the Heart
693,Christ-Centred Life
695,One-offs
697,"Series '13 - 1 Samuel, Acts, James, Psalms, Believing and Belonging"
698,1 Samuel 17-23: Looking on the Heart
699,Giving Review: Attempt Great Things for God
700,Easter
701,Acts 20-24: To the Ends of the Earth
702,James 1-3: Living Faith
703,Psalms 24-28: Songs from the Heart
704,Believing and Belonging
705,One-offs
706,"Series '12 - 1 Samuel, Acts, Philippians, Psalms, Following Christ"
707,1 Samuel 9-16: Looking on the Heart
708,Expect Great Things from God (Giving)
709,Easter
710,Acts 17-19: To the Ends of the Earth
711,Philippians 3-4: Surprised by Joy
712,Psalms 19-23: Songs from the Heart
713,Following Christ
715,One-offs
716,"Series '11 - 1 Samuel, Acts, Philippians, Psalms, Discipleship"
717,1 Samuel 1-8: Looking on the Heart
718,An Outpouring of God's Blessing (Giving)
719,Acts 14-16: To the Ends of the Earth
721,Philippians 1-2: Surprised by Joy
722,Psalms 14-18: Songs from the Heart
723,Discipleship
725,One-offs
726,"Series '10 - Judges, Acts, Colossians, Psalms, Living Life to the Full"
727,Judges 10-21: Such a Great Salvation
885,The Grace of Giving
732,Colossians 3-4: The Letter to the Colossians
733,Psalms 9-13: Songs from the Heart
734,Living Life to the Full
736,One-offs
624,"Series '09 - Judges, Acts, Colossians, Psalms, Big Questions"
625,Judges 1-9: Such a Great Salvation
737,Giving that Pleases God
739,Acts 8-10: To the Ends of the Earth
738,Easter
740,Colossians 2: The Letter to the Colossians
741,Psalms 5-8: Songs from the Heart
742,The Big Questions
743,One-offs
2667,"St David's Forestville, Sydney"
2684,This Month
2952,Series '26
2959,One-offs
2967,Matthew 1-7 - King Jesus and His Kingdom
2973,Easter
2974,Genesis 1-24: God and His Promises
2904,Series '25
2907,Psalms
2915,John: That you may believe
2936,Ephesians: Our Identity in Jesus
2940,2 Samuel - The Lord's Anointed King
2946,Hebrews 1-7 - The Supremacy of Christ
2804,Series '24 -
2805,One-offs
2833,John 8-16 - That You May Believe
2883,1 Samuel: A King to Lead Us
2905,Christmas
2669,"Series '23 - John, 1 Corinthians, Esther"
2678,John 1-7- That You May Believe
2681,1 Corinthians 1-7 - True Wisdom
2700,Christian Maturity
2728,Esther - For Such A Time As This
2749,Lamentations - Enduring Darkness
2762,Colossians - For God's Glory
2788,Christmas at St David's
2701,One-offs
1604,"St Helen's Bishopsgate, London"
1606,This Month
2953,Series '26
2960,One-offs
2962,James: Single Minded Faith
2963,Matthew: The Beautiful Kingdom
2964,John: A Defining Moment
2965,1 Kings: A Life-Giving Word
2966,1 Kings: God’s National Renewal Plan
2970,Daniel: Only One King
2971,1 Thessalonians: Discipleship 101
2972,Easter
2975,Psalms: Prayerfulness
2912,Series '25
2913,Exodus: Transforming Grace
2914,Exodus: Wholehearted
2917,Micah: Who is a God like you?
2918,Genesis: Unstoppable Blessings
2919,Matthew: The Cross of Christ
2920,Philippians: The Partnership
2922,Mark: Fearless
2923,2 Chronicles: Wholehearted
2924,Romans: Transforming Grace
2925,Genesis: The Day of the LORD
2927,Matthew: The Church of Christ
2928,Matthew: God's True King
2929,Ruth: From Bitterness to Blessing
2930,Hosea: Knowing the Heart of God
2932,One-Offs
2933,Isaiah: The Heart of God's Plan
2935,Colossians: The Supremacy of Christ
2937,Isaiah: None Like Him
2938,Jeremiah: The New Covenant
2939,Isaiah: Ready for the Outside
2941,Luke: The Saviour’s manifesto
2942,John: See the Saviour
2943,Genesis: Key stage one
2944,Psalms: Sing to the LORD
2945,"Luke: Hallelujah, what a Saviour!"
2806,"Series '24: Matthew, Judges, Daniel, John, 1 Thessalonians,"
2814,Hell—From The Lips of Jesus
2807,One-offs
2829,Judges - Search for a saviour
2830,Daniel - Your Kingdom Come
2832,John - Guaranteed satisfaction in a world of disappointment
2837,1 Thessalonians: God's Blueprint for authentic lide
2839,1 Thessalonians: Rooted and Standing
2850,Matthew - The King will return—ready or not?
2856,1 Timothy - God's House Rules
2863,Matthew: Truth to Power
2867,Luke: Who runs the world?
2875,Revelation: When your boss asks you to conquer the world
2877,Hebrews: Awesome worship every day
2881,Ruth: Kindness Changed the World
2890,"Matthew: Global problems, God’s solution"
2892,Luke: Behold Him Come
2894,Galatians: Gospel Freedom
2596,"Series '23: 1 Samuel, Matthew, Ezekiel, Philippians, Acts"
2618,1 Samuel: God's King Rising
2624,Matthew: A Beautiful Life
2640,Responses to the Living in Love and Faith Report
2651,Ezekiel: A Fresh Start
2691,Philippians: Passing The Baton On
2726,"Tough Questions, Life–Changing Answers"
2753,Acts: The Gospel Unchained
2604,One-offs
2434,"Series '22 - Matthew, 1 Corinthians, 1 John"
2436,Matthew: This Universe -The Final Chapter
2476,1 Corinthians: The World Is Not Enough
2557,Knowing God
2569,"1,2 & 3 John: The Real Thing"
2478,One-offs
2212,"Series '21: To Dust You Shall Return, 2 Timothy, Christianity 101, Hebrews, Psalms, Luke"
2274,To Dust you Shall Return: What Hope for Humanity?
2238,2 Timothy: Gospel Courage
2318,Christianity 101
2302,"Hebrews 12: Eyes Fixed, Lives Changed"
2382,Psalms: Pilgrim Psalms
2396,Luke: Firm Foundations For the Confident Christian
2259,One-offs
1946,"Series '20 - Luke, Ezekiel"
2148,Growth Conditions
2110,In the Name of the Father
2024,Ezekiel: Out of the Ashes
1948,Luke: Narrow Door - Mass Entry
2011,One-offs
1645,"Series '19 - Luke, Isaiah, John, Exodus, Mark, 2 Corinthians, 1 Kings, Psalms, Genesis"
1646,Luke: Kingdom Come
1676,Isaiah: The Power of Meekness
1700,John: Easter
1763,Exodus: The Gracious & Compassionate God
1771,Mark: The Jesus I Never Imagined Event
1799,2 Corinthians: Ministry Appraisal
1821,1 Kings: Can We Push God too Far?
1854,Psalms: Relating to God in Hard Times
1874,Genesis: Like God?
1852,One-offs
1607,Series '18 - Philippians
1609,Philippians: Citizen Soldiers
1626,Christmas
223,"Village Church Annandale, Sydney"
1043,This Month
2954,Series '26
2961,One-offs
2909,Series '25
2808,Series '24:
2821,Relate
2809,One-offs
2852,2 Peter
2859,Isaiah - The gospel of Isaiah
2598,"Series '23 - Matthew, Romans, Gender & Marriage"
2627,Matthew
2676,Romans
2693,"Gender, Marriage, Singleness, and Divorce 2023"
2733,2 Samuel
2757,Philippians
2760,Core Beliefs
2605,One-offs
2438,"Series '22 - Matthew, Romans, Exodus, Titus"
2471,Matthew: The Heart of the Matter
2499,Romans: Powerful Salvation
2524,Exodus: The Great Rescue
2579,Titus
2493,One-offs
2208,"Series '21: Galatians, Colossians, Mark, Sexuality, 2 Samuel, John, Ephesians"
2276,Galatians: Freedom in Christ
2241,Mark: Jesus in Jerusalem
2213,Colossians: Walking Worthy of the Lord
2317,Holy Sexuality
2374,2 Samuel: God's True King
2393,John: That You May Believe
2411,Ephesians: To The Praise of His Glory
2229,One-Offs
1937,"Series '20: Mark, Revelation, Covid19, Matthew, James, Job, Colossians"
2185,Luke: Preparing for the King
2167,Colossians: Walking Worthy of the Lord
2083,Job: Things Too Wondrous To Know
2035,James: Mercy Shaped Faith
2002,Matthew: Easter
2000,A Response to COVID-19
1973,Mark: Who Is This?
1951,Revelation: The Amazing Vision of Jesus
1939,One-offs
1635,"Series '19 - Questions, John, 1 Peter, Easter, 2 Corinthians, Hosea, Luke, Relationships"
1636,Questions for God
1655,John: Pray Like Jesus
1665,1 Peter: Living as Holy Exiles
1694,Easter
1696,2 Corinthians: Strength in Weakness
1770,Matthew: Follow Me & Fish
1795,Hosea: Surprising Compassion
1840,Luke: Heaven & Hell
1850,The Unknown Jesus
1861,Relationships
1889,Village Vision 2020
1880,One-offs
1428,"Series '18: John, 1 & 2 Corinthians, Acts, Ecclesiastes, Matthew, 1 & 2 Samuel"
1431,John: The Night Before He Died
1463,1 Corinthians: True Wisdom in Our Foolish World
1505,Ecclesiastes: Nothing New
1495,Acts: Unstoppable
1494,Easter and Christmas
1561,Matthew: Straight Talk from Jesus
1573,1 & 2 Samuel: God's Anointed King
1617,2 Corinthians: Grace & People for His Glory
1244,"Series '17 - Luke, Acts, Serving Two Masters, John, Sexuality, Glory"
1246,Luke: The Search for the God Man
1260,Acts: Unstoppable Gospel
1273,Serving Two Masters
1276,1 Corinthians: True Wisdom in Our Foolish World
1281,Easter
1289,John: The HeART of God
1292,1 Samuel: God's Anointed King
1354,Tough Questions for Jesus
1382,Gospel Ministry & Human Sexuality
1389,For God's Glory
1402,Malachi: God Speaks to Whinging Hearts
1417,Christmas at Village Church
1415,One Offs
143,"Series '16 - 1 Samuel, Sexuality, Hebrews, 2 Timothy, Luke, Matthew, Acts"
1042,"God, Gender and Sexuality"
1074,Hebrews: Supreme Over All
1142,2 Timothy: Vision Series
1220,Luke: The Search for the God Man
1225,Matthew: Christmas
276,1 Samuel 8-13: Better Call Saul
1248,Acts: Unstoppable Gospel
1038,One-offs
795,"Series '15 - Hebrews, Jude, Ruth, 1 Samuel, Luke, 'Islam', Acts"
1250,Luke: The Search for the God Man
1254,Engaging With Islam
1256,Acts: Spirit Powered
799,Hebrews 1-8: Supreme over all
800,Jude: Contend for Faith
801,Ruth: God Redeems the Broken
802,1 Samuel 1-7: Samuel Speaks
803,Homosexuality and the Bible
804,"The Christian, Work and Money"
797,"Series '14 - 1 Timothy, Amos, Jonah, 'Jesus Brings', Luke"
1251,Luke: The Search for the God Man
805,1 Timothy 1-5: Life in God's Family
806,Amos: From Patience to Justice
807,Jonah: The depths of God's Character
808,Jesus Brings...
336,BROWSE: BIBLE BOOK
337,Genesis
2433,Genesis: JPC
1150,Genesis: Keswick '08
1151,Genesis: Keswick '13
1843,Genesis: Keswick '19
2563,Genesis: Keswick '22
1875,Genesis 1-15: St Helen's Bishopsgate
1369,Genesis 16-50: St John's Hull - Sermon
2709,Genesis 1-11: Keswick '23
338,Individual Videos on Genesis
339,Exodus
1631,"Exodus: JPC, Newcastle"
1067,Exodus: St John's Hull
1765,"Exodus: St Helen's, Bishopsgate"
1981,Exodus: Exodus Youth Talks
2350,Exodus 12-34: Keswick '21
2525,Exodus: Village Church
340,Individual Videos on Exodus
341,Leviticus
2553,Leviticus: Christ Church Newland
342,Individual Videos on Leviticus
343,Numbers
344,Individual Videos on Numbers
345,Deuteronomy
1099,Deuteronomy 1-30: Keswick '16
2388,"Deuteronomy: JPC, Newcastle - Sermon"
346,Individual Videos on Deuteronomy
347,Joshua
2448,Joshua: Christ Church Newland
348,Individual Videos on Joshua
349,Judges
1127,Judges 1-17: St John's Hull - Sermon
1050,"Judges 3, 4 & 10: Spring Wives '16"
1136,"Judges: JPC, Newcastle - Sermon"
2467,Judges: ELF '22
2826,Judges: St Helen's Bishopsgate - Sermon
350,Individual Videos on Judges
351,Ruth
1201,Ruth: Jonathan Lamb - Word Alive '12
1704,Ruth: St John's Hull - Sermon
1054,"Ruth: Village Church, Sydney - Sermon"
1989,Ruth: Women in Ministry '20
2882,Ruth: St Helen's Bishopsgate
352,Individual Videos on Ruth
353,1 Samuel
1073,"1 Samuel: JPC, Newcastle - Sermon"
1123,1 Samuel: St John's Hull - Sermon
2621,1 Samuel: St. Helen's Bishopsgate
1051,"1 Samuel: Village Church, Sydney - Sermon"
2885,1 Samuel: St David's Forestville
354,Individual Videos on 1 Samuel
355,2 Samuel
1130,"2 Samuel: JPC, Newcastle - Sermon"
1616,"2 Samuel: Village Church, Sydney - Sermon"
93,Preaching 2 Samuel: John Woodhouse - EMA '14
356,Individual Videos on 2 Samuel
357,1 Kings
1502,1 Kings: St John's Hull - Sermon
1152,1 Kings 11-21: Keswick '09
1423,"1 Kings: JPC, Newcastle - Sermon"
1822,"1 Kings 16-18: St Helen's, London - Sermon"
1705,1 Kings 17-19 & 2 Kings 5: Spring Wives '19
1990,1 Kings 17-19: Women in Ministry '20
358,Individual Videos on 1 Kings
359,2 Kings
1153,2 Kings 2-13: Keswick '15
360,Individual Videos on 2 Kings
361,1 Chronicles
2252,"1 Chronicles: JPC, Newcastle - Sermon"
362,Individual Videos on 1 Chronicles
363,2 Chronicles
364,Individual Videos on 2 Chronicles
365,Ezra
366,Individual Videos on Ezra
367,Nehemiah
2666,Nehemiah - Jesmond Parish Church
1583,Nehemiah: Word Alive '18
368,Individual Videos on Nehemiah
369,Esther
2730,Esther - St David's Forestville
370,Individual Videos on Esther
371,Job
1111,Job: David Jackman - Preaching & Teaching Courses
1192,Job: Word Alive '16
1434,Job: St John's Hull - Sermon
2085,"Job: Village Church, Sydney - Sermon"
372,Individual Videos on Job
373,Psalms
2550,Psalms: Christ Church Newland
1070,"Psalms: JPC, Newcastle - Sermon"
2782,Psalms: EMA '23
1154,Psalms: Keswick '14
1304,Psalms: Keswick '17
1807,Psalms: Keswick '19
2352,Psalms: Keswick '21
2562,Psalms: Keswick '22
2455,Psalms: Shorts with Peter Orr
1856,Psalms: St Helen's Bishopsgate - Sermon
1119,Psalms: St John's Hull - Sermon
1048,Psalms: Spring Wives '15
1516,Psalms: Spring Wives '18
1941,"Psalms: Village Church, Sydney - Sermon"
1459,Psalms: Women in Ministry '18
2261,Psalms: Women in Ministry '21
1836,Psalms: Word Alive '19
1076,Teaching the Psalms: David Jackman
374,Individual Videos on Psalms
375,Proverbs
1113,Proverbs: David Jackman - Preaching & Teaching Courses
2737,Proverbs: Jesmond Parish Church
1155,Proverbs 1-31: Keswick '09
1046,Proverbs: Spring Wives '14
376,Individual Videos on Proverbs
377,Ecclesiastes
1112,Ecclesiastes: David Jackman - Preaching & Teaching Courses
1504,"Ecclesiastes: Village Church, Sydney - Sermon"
1460,Ecclesiastes: Women in Ministry '18
378,Individual Videos on Ecclesiastes
379,Song of Songs
1808,Song of Songs: Keswick '19
380,Individual Videos on Song of Songs
381,Isaiah
1106,Isaiah: David Jackman - Preaching & Teaching Courses
2279,Isaiah: Holy Trinity Gateshead - Sermon
2650,Isaiah: Jesmond Parish Church
1173,Isaiah: Keswick '08
1156,Isaiah: Keswick '13
1101,Isaiah: Keswick '16
1133,Isaiah: St John's Hull - Sermon
1677,"Isaiah: St Helen's, London - Sermon"
1059,Isaiah: Women in Ministry '16
1358,Isaiah: Word Alive '17
2861,"Isaiah: Village Church, Syndey"
382,Individual Videos on Isaiah
383,Jeremiah
1206,Jeremiah: Don Carson - Word Alive '14
384,Individual Videos on Jeremiah
385,Lamentations
2750,Lamentations - St David's Forestville
386,Individual Videos on Lamentations
387,Ezekiel
1109,Ezekiel: David Jackman - Preaching & Teaching Courses
2025,"Ezekiel: St Helen's, London - Sermon"
388,Individual Videos on Ezekiel
389,Daniel
1157,Daniel: Keswick '15
1659,Daniel: Women in Ministry '19
2075,Daniel: Holy Trinity Gateshead - Sermon
2825,Daniel: St Helen's Bishopsgate - Sermon
390,Individual Videos on Daniel
391,Hosea
1797,"Hosea: Village Church, Sydney - Sermon"
2351,Hosea: Keswick '21
392,Individual Videos on Hosea
393,Joel
1060,Joel: Women in Ministry '16
2293,"Joel: JPC, Newcastle - Sermon"
394,Individual Videos on Joel
395,Amos
1108,Amos: David Jackman - Preaching & Teaching Courses
1056,"Amos: Village Church, Sydney - Sermon"
396,Individual Videos on Amos
397,Obadiah
398,Individual Videos on Obadiah
399,Jonah
2135,Jonah: Christ Church Newland - Sermon
1158,Jonah: Keswick '11
1196,Jonah: Liam Goligher - Word Alive '09
1058,"Jonah: Village Church, Sydney - Sermon"
400,Individual Videos on Jonah
401,Micah
1107,Micah: David Jackman - Preaching & Teaching Courses
1535,Micah: Keswick '18
402,Individual Videos on Micah
403,Nahum
404,Individual Videos on Nahum
405,Habakkuk
1558,Habakkuk: EMA '18
406,Individual Videos on Habakkuk
407,Zephaniah
408,Individual Videos on Zephaniah
409,Haggai
410,Individual Videos on Haggai
411,Zechariah
412,Individual Videos on Zechariah
413,Malachi
2687,Malachi: Christ Church Newland
2545,"Malachi: JPC, Newcastle - Sermon"
1404,"Malachi: Village Church, Sydney - Sermon"
414,Individual Videos on Malachi
415,Matthew
1540,"Matthew: JPC, Newcastle - Sermon"
1159,Matthew 5-7: Keswick '08
1160,Matthew 5-27: Keswick '10
1161,Matthew 5-7: Keswick '15
2560,Matthew: Keswick '22
2567,Matthew: Kids Talks
2630,Matthew: St. Helen's Bishopsgate
1882,Matthew: St John's Hull - Sermon
1441,Matthew 5-7: 'Video Bible Talks' - Made for Your Youth Group
1124,Matthew 6: St John's Hull - Sermon
1036,Matthew 6: Richard Coekin on 'The Lord's Prayer'
1045,Matthew 9-10: Graham Daniels on Evangelism
1004,Matthew 13: The King and I with Lizzie Smallwood
1028,Study 1: The Four Soils - Matthew 13: 1-23
1030,Study 2: The Weeds and the Wheat - Matthew 13: 24-30
1032,"Study 3: Seeds, Yeast, Treasure and a Peal - Matthew 13: 31-35 & 44-46"
1005,Matthew 13: The King and I with Pete Woodcock
1029,Study 1: The Four Soils - Matthew 13: 1-23
1031,Study 2: The Weeds and the Wheat - Matthew 13: 24-30
1033,"Study 3: Seeds, Yeast, Treasure and a Peal - Matthew 13: 31-35 & 44-46"
1035,Study 4: The Net - Matthew 13: 14-58
1563,"Matthew: Village Church, Sydney - Sermon"
416,Individual Videos on Matthew
417,Mark
999,Mark: Christianity Explored Course
2406,Mark: JPC - Sermon
1126,Mark 1-15: St John's Hull - Sermon
1773,"Mark 4-10: St Helen's, London - Sermon"
1006,"Mark 5, 10: Close Encounters Bible Studies with Lizzie Smallwood"
1022,Study 3: The Sick Women and the Dying Girl - Mark 5: 21-43
1023,Study 4: The Blind Beggar - Mark 10: 32-34 & 45-53
1007,"Mark 5, 10: Close Encounters Bible Studies with Pete Woodcock"
1026,Study 3: The Sick Women and the Dying Girl - Mark 5: 21-43
1027,Study 4: The Blind Beggar - Mark 10: 32-34 & 45-53
1517,Mark 8-10: Spring Wives '18
1212,Mark 14-15: Mark Dever - Word Alive '13
1849,Mark 10: EMA '19
1975,"Mark: Village Church, Sydney - Sermon"
418,Individual Videos on Mark
419,Luke
2626,Close Encounters: Luke 5:17-26 Study
1020,Study 1: The Man Who Came Through The Roof - Luke 5: 17-26
1021,Study 2: The Man Silenced by a Demon - Luke 11: 14-26
1110,Luke: David Jackman - Preaching & Teaching Courses
1072,"Luke: JPC, Newcastle - Sermon"
2353,Luke 1-2: Keswick '21
1018,"Luke 5, 11: Close Encounters with Lizzie Smallwood"
1572,Luke: St John's Hull - Sermon
1019,"Luke 5, 11: Close Encounters with Pete Woodcock"
1024,Study 1: The Man Who Came Through The Roof - Luke 5: 17-26
1025,Study 2: The Man Silenced by a Demon - Luke 11: 14-26
1037,Luke 11: Richard Coekin on 'The Lord's Prayer'
1047,Luke 12: Spring Wives '14
1002,"Luke 12, 15, 18: Tales of the Unexpected with Lizzie Smallwood"
1008,Introductions
1009,Study 1: The Rich Fool - Luke 12: 13-21
1010,Study 2: The Runaway Son - Luke 15: 11-24
1012,Study 4: The Pharisee and the Tax Collector - Luke 18: 9-14
1011,Study 3: The Stay-At-Home Son - Luke 15: 11-32
1003,"Luke 12, 15, 18: Tales of the Unexpected with Pete Woodcock"
1013,Introductions
1014,Study 1: The Rich Fool - Luke 12: 13-21
1015,Study 2: The Runaway Son - Luke 15: 11-24
1016,Study 3: The Stay-At-Home Son - Luke 15: 11-32
1017,Study 4: The Pharisee and the Tax Collector - Luke 18: 9-14
1648,"Luke 13-19: St Helen's, London - Sermon"
1548,Luke 22-24: GAFCON '18
2397,Luke: St. Helen's
1222,"Luke: Village Church, Sydney - Sermon"
1197,Luke 8-19: Word Alive '09
1207,Luke 4-6: Word Alive '14
420,Individual Videos on Luke
421,John
1077,John: Christopher Ash - EMA '15
1202,John: Christopher Ash - Word Alive'13
2748,John: Christ Church Newland - Sermon
