speakerID,speakerSurname,speakerFirstname
412,Behan,Jay
450,Gill,JB
516,Harris,Jen
492,Pollock Michel,Jen
433,Brown,Jenny
290,Salt,Jenny
339,Woodhouse,Jenny
86,McQuoid,Jeremy
469,Treat,Jeremy
373,Root,Jerry
445,Brouwer,Jessica
271,Turrent,Jim
649,Frost,Jo
555,Jackson,Joanna
13,Potter,Joe
486,Rigney,Joe
603,Behr,John
23,Dickson,John
14,Ellison,John
108,Lennox,John
294,Martin,John
478,Onwuchekwa,John
53,Piper,John
150,Risbridger,John
220,Samuel,John
42,Stevens,John
230,Walton,John
93,Wyatt,John
628,McMillan,John Mark
346,Prime,Johnny
574,Clayson,Jon
170,Collins,Jon
161,Kwan,Jon
480,Nielson,Jon
92,Teasdale,Jon
713,Griffiths,Jonathan
62,Lamb,Jonathan
477,Leeman,Jonathan
615,McReynolds,Jonathan
3,Pryke,Jonathan
11,Redfearn,Jonathan
351,Thomas,Jonathan
579,Greenshields,Jonny
225,Allcock,Jonty
431,Moody,Josh
173,Harris,Joshua
479,Butler,Joshua Ryan
179,Sanchez,Juan
249,Hardyman,Julian
476,Kim,Julius
490,Buzzard,Justin
407,Raffel,Kanishka
523,Mason,Karen
185,Jobe,Kari
600,Birbalsingh,Katharine
192,Nielson,Kathleen
415,Thurston,Kathy
586,Hampton,Kay
383,Condie,Keith
423,Fox,Keith
187,Getty,Keith
83,Richards,Kel
485,Turner,Kempton
9,Matthews,Ken
439,Harmon,Kendall
264,DeYoung,Kevin
69,Vanhoozer,Kevin
614,Franklin,Kirk
482,Porter,Kori
56,Kandiah,Krish
448,Prasetyo,Krisna
723,Young,Kristen
557,Mair,Kristi
188,Getty,Kristyn
474,Strobel,Kyle
519,Murdoch,Laura
210,Daigle,Lauren
323,Mbunda,Laurent
336,Gatiss,Lee
137,McMunn,Lee
583,Tice,Lena
736,Elbourne,Leo
375,De Chirico,Leonardo
54,Goligher,Liam
347,Hayward,Liam
449,Astuti,Liberty
172,Duncan,Ligon
219,Benn,Lindsay
44,Brown,Lindsay
308,Windsor,Lionel
191,Cox,Liz
132,Smallwood,Lizzy
231,Lambrechts,Loots
530,Cornelius,Luke
114,Bowring,Lyndon
699,Brock,Mack
607,Guite,Malcom
233,Wang,Marc
116,Burkill,Mark
123,Dever,Mark
194,Dickson,Mark
436,Dillon,Mark
582,Earngey,Mark
241,Greene,Mark
456,Howson,Mark
141,Lanier,Mark
106,Lawrence,Mark
422,Meynell,Mark
715,Stirling,Mark
430,Thompson,Mark
340,Ballentine Jones,Marshall
16,Morrison,Martin
273,Salter,Martin
145,Thompson,Martin
299,Sweeney,Marty
662,Sapp,Marvin
674,Causier,Matt
554,Coates,Matt
279,Elder,Matt
612,Maher,Matt
537,Reagan,Matt
619,Redman,Matt
696,Searles,Matt
667,Stones,Matt
730,Le Croissette,Matthew
575,Nicholson,Matthew
535,Schaefer,Matthew
527,Spandler Davidson,Matthew
278,Waldock,Matthew
251,McCraken,Maurice
533,Peterson,Max
229,Best,Megan
393,Hunt,Melinda
467,Kruger,Melissa
135,Tinker,Melvin
232,Eloff,Mervyn
341,McConnell,Mez
466,Horton,Michael
392,Kellahan,Michael
496,Lee,Michael
120,Nazir-Ali,Michael
256,Raiter,Michael
242,Ramsden,Michael
370,Reeves,Michael
394,Sheedy,Michael
310,Teutsch,Michael
73,Wilcock,Michael
357,Mantle,Mickey
327,Uchoa,Miguel
182,Andrus,Mike
103,Bassous,Mike
688,Betts,Mike
181,Bullmore,Mike
144,Cain,Mike
514,Harris,Mike
581,Leite,Mike
118,Ovey,Mike
602,Volf,Miroslav
405,Smart,Mitch
234,Anderson,Murray
465,Campbell,Murray
411,Guthrie,Nancy
678,Moore,Nate
718,Weston,Nathan
247,Powell,Neil
322,Okoh,Nicholas
738,Heeley,Nick
276,Tucker,Nick
652,Gumbel,Nicky
350,Beynon,Nigel
365,Styles,Nigel
427,Lobo,Niv
687,Ndlovu,Ntokozo
706,Knight,Olly
164,Muriu,Oscar
522,Brown,Owen
208,Martinez,Pablo
588,Barrett,Pat
625,Baloche,Paul
352,Feesy,Paul
297,Grimmond,Paul
50,Mallard,Paul
119,Perkin,Paul
309,Rees,Paul
531,Richards,Paul
685,Ritchie,Paul
157,Tripp,Paul
610,VanderKlay,Paul
731,Williams,Paul
657,Alston,Pete
584,Browne,Pete
245,Nicholas,Pete
131,Woodcock,Pete
458,Adam,Peter
45,Baker,Peter
193,Birnie,Peter
704,Dray,Peter
117,Jensen,Peter
452,Jones,Peter
200,Lewis,Peter
51,Maiden,Peter
391,Mayrick,Peter
372,Mead,Peter
464,Orr,Peter
237,Saunders,Peter
705,Teagle,Peter
70,Vardy,Peter
223,Williams,Peter
368,Williams,Peter J
653,Allcock,Phil
563,Baraniak,Phil
379,Colgan,Phil
672,Hudson,Phil
637,Moore,Phil
178,Ryken,Phil
513,Small,Phil
623,Wickham,Phil
288,Tinker,Philip
1,Jensen,Phillip
295,Taylor,Phillippa
331,Wario,Qampicha Daniel
406,Ciano,Rachel
605,Gilson,Rachel
390,Gupta,Raj
316,Atallah,Ramez
8,Adcock,Ramzi
425,Brown,Ray
204,Evans,Ray
302,Galea,Ray
419,Ortlund,Ray
317,Atallah,Rebecca
608,McLaughlin,Rebecca
321,Ponniah,Rennis
113,Hunter,Reuben
287,Harris,Rhett
371,Borgonon,Richard
413,Chin,Richard
47,Coekin,Richard
328,Condie,Richard
189,Coombs,Richard
37,Cunningham,Richard
312,Dannatt,Richard
597,Dobson,Richard
359,Dryer,Richard
217,Hawes,Richard
578,Restall,Richard
125,Underwood,Richard
78,Tice,Rico
556,Villanueva,Rico
236,Edmondson,Rob
551,Smith,Rob
457,Creech,Robert
558,Ham,Robin
140,Sydserff,Robin
289,Weekes,Robin
84,Earnshaw,Rod
399,Irvine,Rod
334,Thomas,Rod
315,Atwebembeire,Rodgers
269,Simpson,Roger
416,Standring,Roo
389,Shiner,Rory
716,Clarke,Ros
697,Ewell,Rosalee Velloso
443,Dowsett,Rose
444,Green,Rosemary
520,Woodbridge,Rosie
387,Ciano,Ross
504,Kemp,Rowan
43,Bentley-Taylor,Rupert
606,Sheldrake,Rupert
684,Grinter,Russ
408,Powell,Russell
130,Padilla DeBorst,Ruth
349,Floyd,Ruth Naomi
473,Griffith,Ryan
503,Kelly,Ryan
487,Lister,Ryan
361,Muir,Ryan
281,Allberry,Sam
293,Chan,Sam
382,Hilton,Sam
692,Reed,Sam
252,Storms,Sam
261,Green,Samuel
291,Galea,Sandy
296,Grant,Sandy
585,Thomas,Santosh
564,Bradley,Sarah
442,Breuel,Sarah
384,Condie,Sarah
508,Anderson,Scott
285,Huss,Scott
136,McKay,Scott
709,Taylor,Scott
472,Murray,Shona
459,Gillham,Simon
85,Manchester,Simon
20,Smart,Simon
559,Crossley,Sonia
95,Hauerwas,Stanley
686,Gustavsson,Stefan
212,Macleod,Steph
654,Boon,Stephen
710,Knoll,Stephen
437,Macalpine,Stephen
326,Noll,Stephen
497,Bang Lee,Steve
87,Brady,Steve
165,Casey,Steve
410,Cree,Steve
109,Gaukroger,Steve
633,James,Steve
272,Midgley,Steve
683,Orange,Steve
183,Chin,Steven
429,Crawshaw,Stu
511,Piggin,Stuart
401,Starr,Stuart
617,Mann,Tamela
616,Cobbs Leonard,Tasha
543,Wells,Tauren
509,Lee,Teresa
40,Virgo,Terry
177,Anyabwile,Thabiti
483,Terry,Thomas
143,Benstead,Tim
79,Chester,Tim
402,Clemens,Tim
424,Farron,Tim
159,Keller,Tim
153,Lane,Tim
169,Mackie,Tim
648,Rudge,Tim
358,Sheppard,Tim
562,Wickham,Tim
567,Brown,Tom
577,Digby,Tom
598,Holland,Tom
270,Putt,Tom
298,Payne,Tony
528,Wright,Tony
676,Ryan,Travis
668,Pearce,Trevor
631,Stanley,Trinette
660,Tribbett,Tye
385,Ling,Valerie
41,Roberts,Vaughan
656,Ogbummor,Victor
364,Watson,Viv
262,Whitton,Viv
311,Burnett,Wade
221,Benn,Wallace
354,Furman,Warren
122,Grudem,Wayne
604,Alsup,Wendy
734,Illingsworth,Wes
398,Hill,Wesley
460,Timmins,Will
115,Lane Craig,William
655,Philip,William
105,Taylor,William
259,Anderson,Zac
621,Williams,Zach
228,Earnshaw,Zoe
728,Anthem Lights,
670,Awesome Cutlery,
665,CalledOut Music,
618,Casting Crowns,
541,CityAlight,
570,Count Everyone In,
627,Crowder,
589,Elevation Worship,
7,Emu Music,
257,For King & Country,
6,Garage Hymnal,
679,Gas Street Music,
726,Gateway Worship,
611,Guvna B,
677,Housefires,
214,Kings Kaleidoscope,
663,KODA,
675,Land of Color,
626,Lecrae,
545,Leeland,
593,Local Sound,
613,Mary Mary,
591,Maverick City Music,
548,MercyMe,
540,Nashville Life Music,
620,NEEDTOBREATHE,
596,North Point Worship,
68,Phatfish,
590,Red Rocks Worship,
209,Rend Collective,
213,Rivers & Robots,
544,Selah,
211,Shane & Shane,
658,Sinach,
546,Sovereign Grace,
542,Tedashii,
594,Terrian,
215,The Gray Havens,
539,The Porter's Gate,
547,TobyMac,
622,Urban Rescue,
595,We The Kingdom,
