short_url,resolved_url,final_status
https://bit.ly/2MMw0aL,https://www.printandaudio.org.uk/app/search/resources/from/02-02-2018/to/31-12-2018/time/pm/church/jesmond-parish-church/resource/3543/title/how-to-keep-going-as-christians,403
https://bit.ly/2OID2QH,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/326/resource/3640/title/what-excuses-do-you-give-god,403
https://bit.ly/2OJbE4S,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/232/resource/3476/title/davids-last-words,403
https://bit.ly/2OJlgNa,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3531/title/submit-like-jesus,403
https://bit.ly/2OJm1Ww,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/318/resource/3563/title/dealing-with-your-anger,403
https://bit.ly/2OJndsY,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/100/resource/3581/title/what-to-do-when-evil-prospers,403
https://bit.ly/2OJselm,https://www.printandaudio.org.uk/app/search/resources/name/ian-garrett/bible-book/luke/resource/3625/title/the-parable-of-ten-minas,403
https://bit.ly/2OL65mK,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/318/resource/3555/title/salt-and-light,403
https://bit.ly/2OTMhgK,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3548/title/a-hostile-world,403
https://bit.ly/2TbwSXV,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/327/resource/3658/title/a-collection-for-the-saints,403
https://bit.ly/2Tbx2yo,https://www.printandaudio.org.uk/app/search/resources/from/02-02-2018/to/31-12-2018/time/pm/church/jesmond-parish-church/resource/3501/title/is-god-just-loving-or-both,403
https://bit.ly/2TcJ6iY,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/from/2019-06-26/to/2019-08-07/sort/date/direction/desc/resource/3746/title/giving-for-the-glory-of-god,403
https://bit.ly/2TeguWp,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/325/resource/3601/title/whose-love-can-you-trust,403
https://bit.ly/2YID0Ms,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/324/resource/3599/title/real-love,403
https://bit.ly/2YLdwOl,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/from/2019-06-26/to/2019-08-07/sort/date/direction/desc/resource/3755/title/fasting-what-why-when-how#top,403
https://bit.ly/2YMMClm,https://www.printandaudio.org.uk/app/search/resources/from/01-02-2019/to/25-05-2019/time/pm/church/jesmond-parish-church/resource/3669/title/who-are-you-and-what-are-you-here-for,403
https://bit.ly/2YOBzvL,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3527/title/into-the-light,403
https://bit.ly/2YPIEIL,https://www.printandaudio.org.uk/app/search/resources/from/02-02-2018/to/31-12-2018/time/pm/church/jesmond-parish-church/resource/3637/title/gods-promise,403
https://bit.ly/2YPwz6f,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/232/resource/3511/title/davids-death,403
https://bit.ly/2YTTIVj,https://www.printandaudio.org.uk/app/search/resources/from/02-02-2018/to/31-12-2018/time/pm/church/jesmond-parish-church/resource/3583/title/back-to-basics-godly-living,403
https://bit.ly/2YswLwZ,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/332/resource/3728/title/how-to-recognise-a-true-christian,403
https://bit.ly/2Yszw1j,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/326/resource/3671/title/the-judgement-that-saves,403
https://bit.ly/2YxlbAz,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/332/resource/3721/title/jesus-our-advocate,403
https://bit.ly/2YyEXvy,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/318/resource/3553/title/life-in-the-kingdom-of-god-a-guide-for-new-residents,403
https://bit.ly/2YyflPq,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/332/resource/3730/title/is-what-you-believe-right,403
https://bit.ly/2ZCRafn,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/326/resource/3694/title/celebrating-our-triumphant-god,403
https://bit.ly/2ZEZew4,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/232/resource/3468/title/davids-song,403
https://bit.ly/2ZExA2n,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/100/resource/3584/title/a-study-of-true-repentance,403
